title,content,status,user
精神科状況設定問題,"<div>次の文を読み問題1に答えよ。<br>19歳の男性。大学生。両親と兄の4人家族。1か月前から自室で独語をしながら片脚跳びをしている。母親に注意されると「『これをやめたら人生ゲームに乗り遅れる。やめたらおまえの負けだ』という声が聞こえてくる」と言い、夜間も頻繁に行っていた。母親が早く寝るように言うと、殴りかかろうとしたこともあった。次第に、食事や睡眠がとれなくなり、父親と兄に伴われ精神科病院を受診した。父親と精神保健指定医とに説得され入院の勧めに応じた。<br><br>問題1<br>入院形態はどれか。<br><br></div><ol><li>措置入院</li><li>任意入院</li><li>医療保護入院</li><li>緊急措置入院</li></ol><div><br>[ 解答 ]  2<br><br>この問題のポイントは以下の文章</div><blockquote>父親と精神保健指定医とに説得され入院の勧めに応じた</blockquote><div>説得されて応じているので「自分の意思での入院」＝ 「任意入院」となる<br>これで説得に応じない場合は多分家族の同意で「医療保護入院」になってたと思う<br><br><br>おまけ<br>現場的には、この症状なので「任意入院」では多分取らないと思うんですよね。</div><ul><li>夕方や夜になると急に「帰ります」って言う事がある</li><li>「任意入院」だと本当に帰る事になるので治療にならない</li><li>これで退院した場合、次に連れて来る事が難しくなる</li></ul><div><br></div><h1>参考・引用</h1><div><a href=""https://www.kango-roo.com/kokushi/kako/detail/3663/1"">看護roo!</a></div>",0,
入院業務メモ1,<div>全体の流れ</div><ol><li>入院の迎えに行く前に時間があれば、ネームプレート等の作成をしておく</li><li>病棟長にチームの振り分け・担当医の確認を行う</li><li>迎えの電話が来たら外来へ向かいに行く<ul><li>この時入院形態によって1人では行けないので注意する</li></ul></li><li>外来で必要書類をもらい、病棟へ案内する</li><li>入院時の状態によるが家族 or 本人にアナムネを行う<ul><li>高齢の方や施錠対応が必要な場合などは家族の方だけでも大丈夫</li><li>人手に余裕があれば家族へのアナムネ or 本人への病棟案内を手伝ってもらう</li></ul></li><li>アナムネを行い、近日中に持ってきて欲しい物を伝えケータイなどの精密機器の預かりを行う<ul><li>預かった際は預かり帳に記載し署名する</li><li>遠方で近日中に来られない場合は売店の利用や近隣の商業施設を紹介する</li></ul></li><li>持参薬がある場合は預かり主治医に伝え、使用の有無の確認を行う<ul><li>使用する場合は医師に処方箋を書いてもらい薬剤科に持っていき処理してもらう</li><li>持参薬が大量にある場合は「預かり」扱いとして書類に記載し退院時に返却する</li><li>使用しない場合は家族に返却する</li></ul></li><li>できれば家族に自宅退院の目処を確認しておく<ul><li>最初に決めておくと入院の無為な長期化を防げる</li><li>入院期限ギリギリに施設方向になると間に合わないため</li></ul></li><li>家族・本人に病棟案内を行い入院同意書に署名をもらう<ul><li>コピーを取り、原本は本人・家族に返して控えをファイリングする</li></ul></li><li>電子カルテの操作に入る</li></ol>,2,
入院業務メモ2,<h1>今回は電カル操作メインのメモ</h1><div><br></div><ol><li>入院処理のパスを起動する</li><li>病床管理で患者さんの部屋番号を入れる</li><li>基本情報の確認を行う<ul><li>入院形態の間違いがないか</li><li>名前の間違いがないか</li><li>担当医・看護師の設定</li></ul></li><li>体温表の設定を行う<ul><li>デフォでは初期設定なのでverを最新のものにする必要があるらしい</li></ul></li><li>入院時 or 外来時に行ったV/Sを入力しておく</li><li>看護問題の立案を行い・評価日を設定する</li><li>療養計画書に漏れがない事を確認し印刷し、家族 or 本人に署名をもらう<ul><li>書類は控えを作成しファイリングし、原本は返す</li></ul></li><li>入院のタイミングによって食事が間に合わないので、連絡が必要な時もある</li><li>入院時の記録を作成する<ul><li>入院形態と護送区分(独歩・車椅子・付き添い...etc)の記載</li></ul></li><li>施錠・隔離対応の場合は巡視の紙を作成する</li></ol>,2,
ECTの必要物品,<div>ECTの必要物品のメモ</div><ul><li>アル綿</li><li>ECTの通電確認</li><li><br></li></ul>,1,
統合失調症の症状,<div>統合失調症( 以降 S )の症状は大きく3つに分けられる<br><br></div><ol><li>陽性症状<ul><li>妄想</li><li>幻覚</li><li>思考障害</li></ul></li><li>陰性症状<ul><li>感情鈍麻</li><li>思考の貧困</li><li>意欲の欠如</li><li>自閉</li></ul></li><li>認知機能障害<ul><li>記憶力の低下</li><li>注意・集中力の低下</li><li>判断力の低下</li></ul></li></ol>,1,
退院業務メモ (前日処理),"<div><strong>退院日前日の処理のメモ</strong></div><ol><li>退院時パスを起動する</li><li>病床管理で退院日の入力を行う<ul><li>退院時間によっては余分に食事が出てしまい請求がかかってしまうのでその際は食事科に連絡し止めてもらう</li></ul></li><li>ベッド台帳にも退院の記載を行う</li><li>会計へ退院書類を持っていく<ul><li>個室を使用していた場合はその期間を記載する</li><li>施錠時の時は費用が発生しないので「close」or 「open」など書いておく</li><li>○ / ○ 〜 ○ / ○ close,  ○ / ○ 〜 ○ / ○ open</li></ul></li><li>預かり物を返却カゴに用意し紛失が無いか確認する</li><li>入院期間中の余った薬は薬局に返却して退院時処方と交換してもらう</li></ol>",2,
退院業務メモ (当日処理),<div><strong>退院当日処理のメモ</strong></div><ol><li>家族の迎え or 単身で帰る場合は退院時間になったら始める</li><li>預かり品・退院時処方の確認を行う( 紛失・漏れの確認 )<ul><li>持ち帰る荷物が多い時は台車を貸し出す事も可能</li></ul></li><li>部屋の備品等の破損・忘れ物がないか確認を行う</li><li>問題がなければ退院となる<ul><li>この時に帰りに会計に立ち寄ってもらう事を忘れず伝える</li></ul></li><li>退院時の記録を書く</li><li>ワーカーさんに掃除の依頼をする</li></ol>,2,
キューブラー・ロスの心理過程,"<div>キューブラー・ロスによる<strong>死にゆく人の心理過程<br></strong><br></div><blockquote><br><ol><li>否認と孤立<ul><li>自分の命が長くないことに衝撃を受け、その事実を感情的に否認したり、その事実から逃避しようとしている段階。周囲の認識や態度にギャップが生じるため、孤立しがちになる。</li></ul></li><li>怒り<ul><li>死ぬという事実は認識したが、一方で、「ではなぜ、自分がこのような境遇になってしまうのか」といった思いが強く、周囲に反発したり、怒りがこみあげてきたりする。</li></ul></li><li>取り引き<ul><li>死をもう少し先延ばしできないか、あるいは、奇跡が起こって死を回避できないかと考えて、神仏にすがったり、善行を行ったりする。</li></ul></li><li>抑うつ<ul><li>死を避けられないことが分かり、あきらめや悲観、むなしさ、憂うつ、絶望といった気持ちが支配して、落ち込む。</li></ul></li><li>受容<ul><li>死を、誰にでも訪れる自然なものとして受け入れるようになる。これまでの価値観や視野とは異なる次元があることを理解し、心静かに暮らす。</li></ul></li></ol></blockquote><div><br></div><div><strong>引用</strong><br><a href=""https://www.highness-co.jp/churakubou/detail/190"">中楽坊</a></div>",0,
採血準備,<div><strong>採血物品のメモ</strong></div>,1,
準夜勤業務メモ,<ol><li>日勤時同様情報収集を行う</li><li><br></li></ol>,1,
